time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
7.31664,0.01667,13.0326,-1,-24.35398,28.75356,38.33684,-15.91249,3.122,3.86861,3.122,3.86861,-1.49875,-1.49875,-0.17706,-0.17706,0.96751,-2.55614,2.19668,1.96894,313.6989,-906.3483,543.5371,499.0204,313.6989,-906.3483,543.5371,499.0204,466.45,-645.0316,543.5371,499.0204,0,0,0,0,0,0,0,0,-4.97441,43.31125,38.33684
7.3333,0.01667,12.92908,-1,-24.37777,28.474,39.2495,-15.87,3.09882,3.83786,3.09882,3.83786,-1.48319,-1.48319,-0.1749,-0.1749,0.8956,-2.6033,2.17724,1.95364,271.8936,-984.0977,521.5416,481.8042,271.8936,-984.0977,521.5416,481.8042,427.1228,-716.8892,521.5416,481.8042,0,0,0,0,0,0,0,0,-2.43277,41.68227,39.2495
7.34997,0.01667,12.82584,-1,-24.40137,28.2168,39.8814,-15.86072,3.07482,3.80694,3.07482,3.80694,-1.47013,-1.47013,-0.17407,-0.17407,0.85636,-2.62417,2.17466,1.95327,237.6925,-1051.073,500.5944,466.4361,237.6925,-1051.073,500.5944,466.4361,394.7008,-778.9438,500.5944,466.4361,0,0,0,0,0,0,0,0,-0.29222,40.17361,39.8814
7.36664,0.01667,12.7229,-1,-24.42476,27.977,40.27398,-15.87935,3.05016,3.77588,3.05016,3.77588,-1.45911,-1.45911,-0.17439,-0.17439,0.844,-2.62323,2.18642,1.96568,211.1959,-1104.089,482.0549,453.8051,211.1959,-1104.089,482.0549,453.8051,369.2766,-828.2974,482.0549,453.8051,0,0,0,0,0,0,0,0,1.39529,38.87868,40.27398
7.3833,0.01667,12.6203,-1,-24.44794,27.7505,40.46961,-15.91934,3.02503,3.74474,3.02503,3.74474,-1.44961,-1.44961,-0.17554,-0.17554,0.85202,-2.60568,2.20889,1.98764,191.966,-1141.907,466.716,444.2684,191.966,-1141.907,466.716,444.2684,350.4547,-863.82,466.716,444.2684,0,0,0,0,0,0,0,0,2.62433,37.84528,40.46961
7.39997,0.01667,12.52187,0,-21.10642,27.44254,31.91875,-15.95776,3.00037,3.71392,3.00037,3.71392,-1.44,-1.44,-0.17681,-0.17681,3.31884,0.06832,2.23293,2.0111,408.6891,-889.2646,454.733,437.579,408.6891,-889.2646,454.733,437.579,532.8861,-677.9919,454.733,437.579,0,0,0,0,0,0,0,0,-5.15082,37.06956,31.91875
7.41664,0.01667,12.42965,0,-17.96068,26.7591,4.88378,-15.83378,2.98307,3.68464,2.98307,3.68464,-1.41748,-1.41748,-0.1755,-0.1755,5.41216,2.42345,2.22203,2.00482,1063.711,-382.7582,444.3008,431.4389,1063.711,-382.7582,444.3008,431.4389,1140.71,-235.2697,444.3008,431.4389,0,0,0,0,0,0,0,0,-31.49731,36.38109,4.88378
7.4333,0.01667,12.33909,0,-14.70717,25.50959,-33.28695,-15.38211,2.97834,3.65549,2.97834,3.65549,-1.36805,-1.36805,-0.16932,-0.16932,7.15112,4.52601,2.14526,1.9425,1835.831,472.3284,431.9966,422.1091,1835.831,472.3284,431.9966,422.1091,1881.119,562.2905,431.9966,422.1091,0,0,0,0,0,0,0,0,-68.76929,35.48235,-33.28695
7.44997,0.01667,12.24447,0,-11.44837,23.60086,-76.0546,-14.48564,2.98786,3.62426,2.98786,3.62426,-1.28225,-1.28225,-0.15564,-0.15564,8.34185,6.17176,1.96943,1.79393,2554.39,1533.908,413.2308,404.9778,2554.39,1533.908,413.2308,404.9778,2585.663,1585.484,413.2308,404.9778,0,0,0,0,0,0,0,0,-110.0457,33.99107,-76.0546
7.46664,0.01667,12.14201,0,-8.18459,21.07873,-115.8103,-13.12759,3.00936,3.58823,3.00936,3.58823,-1.15875,-1.15875,-0.13399,-0.13399,8.99241,7.33283,1.6903,1.55267,3127.727,2539.396,384.195,376.4848,3127.727,2539.396,384.195,376.4848,3154.6,2572.261,384.195,376.4848,0,0,0,0,0,0,0,0,-147.4115,31.60113,-115.8103
